tourney_name,tourney_date,winner_id,winner_name,winner_ioc
Vancouver WCT,1971-10-10,100016.0,Ken Rosewall,AUS
Quebec WCT,1971-08-01,100084.0,Tom Okker,NED
Roland Garros,1971-05-21,100113.0,Jan Kodes,CZE
Merion,1971-08-22,100078.0,Clark Graebner,USA
Brussels,1971-05-22,100055.0,Cliff Drysdale,RSA
Hobart,1971-01-10,100092.0,Alex Metreveli,RUS
Toronto WCT,1971-08-15,100087.0,John Newcombe,AUS
Buenos Aires,1971-12-01,100141.0,Zeljko Franulovic,CRO
Auckland,1971-03-07,100047.0,Bob Carmichael,AUS
Sacramento,1971-09-20,100144.0,Robert Lutz,USA
Hampton,1971-03-07,100119.0,Ilie Nastase,ROU
Philadelphia WCT,1971-02-09,100087.0,John Newcombe,AUS
Miami WCT,1971-04-04,100055.0,Cliff Drysdale,RSA
Dallas,1971-11-18,100016.0,Ken Rosewall,AUS
Charlotte,1971-04-18,100074.0,Arthur Ashe,USA
Wembley,1971-11-01,100119.0,Ilie Nastase,ROU
Paris Indoor,1971-11-08,100074.0,Arthur Ashe,USA
Salisbury,1971-02-21,100078.0,Clark Graebner,USA
Wimbledon,1971-06-21,100087.0,John Newcombe,AUS
Houston,1971-04-25,100128.0,Cliff Richey,USA
Gstaad,1971-07-10,100087.0,John Newcombe,AUS
Hilversum,1971-08-03,100139.0,Gerald Battrick,GBR
Bastad,1971-07-10,100119.0,Ilie Nastase,ROU
Queen's Club,1971-06-14,100126.0,Stan Smith,USA
Bologna WCT,1971-11-14,100029.0,Rod Laver,AUS
Macon,1971-03-01,100141.0,Zeljko Franulovic,CRO
Catania,1971-04-25,100113.0,Jan Kodes,CZE
Barcelona WCT,1971-10-18,100174.0,Manuel Orantes,ESP
Berkeley,1971-09-27,100029.0,Rod Laver,AUS
Los Angeles,1971-09-20,100005.0,Richard Pancho Gonzales,USA
Cincinnati,1971-08-02,100126.0,Stan Smith,USA
Montreal / Toronto,1971-08-10,100087.0,John Newcombe,AUS
Stockholm Open,1971-11-01,100074.0,Arthur Ashe,USA
Palermo,1971-04-18,100058.0,Roger Taylor,GBR
Masters,1971-12-04,100119.0,Ilie Nastase,ROU
Hampton,1972-03-05,100126.0,Stan Smith,USA
St. Louis WCT,1972-07-01,100087.0,John Newcombe,AUS
Sacramento,1972-09-17,100126.0,Stan Smith,USA
London,1972-11-18,100119.0,Ilie Nastase,ROU
Denver WCT,1972-04-30,100029.0,Rod Laver,AUS
Australian Open,1971-12-26,100016.0,Ken Rosewall,AUS
Dallas WCT,1972-05-10,100016.0,Ken Rosewall,AUS
Rome WCT,1972-11-26,100074.0,Arthur Ashe,USA
Los Angeles,1972-02-14,100026.0,Andres Gimeno,ESP
Essen WCT,1972-10-29,100037.0,Nikola Pilic,CRO
Montreal WCT,1972-09-17,100074.0,Arthur Ashe,USA
Alamo WCT,1972-10-01,100087.0,John Newcombe,AUS
Tanglewood,1972-07-30,100040.0,Bob Hewitt,RSA
Brussels,1972-05-14,100174.0,Manuel Orantes,ESP
Rotterdam WCT,1972-11-18,100074.0,Arthur Ashe,USA
Houston WCT,1972-04-09,100029.0,Rod Laver,AUS
New York,1972-02-28,100126.0,Stan Smith,USA
Philadelphia WCT,1972-02-08,100029.0,Rod Laver,AUS
Baltimore,1972-01-09,100119.0,Ilie Nastase,ROU
Chicago WCT,1972-03-16,100084.0,Tom Okker,NED
Louisville WCT,1972-07-29,100074.0,Arthur Ashe,USA
Dusseldorf,1972-07-25,100119.0,Ilie Nastase,ROU
Hobart,1972-01-16,100092.0,Alex Metreveli,RUS
US Open,1972-08-30,100119.0,Ilie Nastase,ROU
Madrid,1972-04-16,100119.0,Ilie Nastase,ROU
Cleveland WCT,1972-08-13,100073.0,Mark Cox,GBR
Brisbane,1972-12-03,100016.0,Ken Rosewall,AUS
Monte Carlo,1972-03-27,100119.0,Ilie Nastase,ROU
Las Vegas WCT,1972-05-01,100087.0,John Newcombe,AUS
Hamburg,1972-06-05,100174.0,Manuel Orantes,ESP
Boston WCT,1972-07-06,100144.0,Robert Lutz,USA
Rome,1972-04-24,100174.0,Manuel Orantes,ESP
Indianapolis,1972-08-07,100040.0,Bob Hewitt,RSA
Washington WTC,1972-07-12,100100.0,Tony Roche,AUS
Roland Garros,1972-05-22,100026.0,Andres Gimeno,ESP
Johannesburg-2,1972-12-02,100087.0,John Newcombe,AUS
Kitzbuhel,1972-07-22,100091.0,Colin Dibley,AUS
Bastad,1972-07-16,100174.0,Manuel Orantes,ESP
Gstaad,1972-07-16,100026.0,Andres Gimeno,ESP
Bristol,1972-06-17,100040.0,Bob Hewitt,RSA
Queen's Club,1972-06-24,100284.0,Jimmy Connors,USA
South Orange,1972-09-01,100119.0,Ilie Nastase,ROU
Kansas City,1972-02-06,100061.0,Tom Edlefsen,USA
Des Moines,1972-02-06,100005.0,Richard Pancho Gonzales,USA
Sydney N.S.W.,1972-01-09,100092.0,Alex Metreveli,RUS
London Indoor,1972-01-22,100128.0,Cliff Richey,USA
Bretton Woods,1972-07-09,100128.0,Cliff Richey,USA
Miami WCT,1972-03-05,100016.0,Ken Rosewall,AUS
Merion,1972-08-27,100058.0,Roger Taylor,GBR
Stockholm,1972-11-04,100126.0,Stan Smith,USA
Omaha,1972-02-01,100119.0,Ilie Nastase,ROU
Paris Indoor,1972-10-30,100126.0,Stan Smith,USA
Montreal / Toronto,1972-08-14,100119.0,Ilie Nastase,ROU
Cincinnati,1972-07-31,100284.0,Jimmy Connors,USA
Los Angeles WCT,1972-09-18,100126.0,Stan Smith,USA
Albany,1972-09-25,100284.0,Jimmy Connors,USA
Barcelona,1972-10-23,100113.0,Jan Kodes,CZE
Johannesburg,1972-04-08,100128.0,Cliff Richey,USA
Salisbury,1972-02-20,100126.0,Stan Smith,USA
Wimbledon,1972-06-26,100126.0,Stan Smith,USA
Buenos Aires,1972-12-01,100179.0,Karl Meiler,GER
Toronto WCT,1972-02-20,100029.0,Rod Laver,AUS
Nice,1972-04-23,100119.0,Ilie Nastase,ROU
Fort Worth WCT,1972-08-20,100087.0,John Newcombe,AUS
Washington,1972-03-12,100126.0,Stan Smith,USA
Gothenberg WCT,1972-11-05,100087.0,John Newcombe,AUS
Quebec WCT,1972-04-16,100060.0,Marty Riessen,USA
Jacksonville,1973-01-16,100284.0,Jimmy Connors,USA
Seattle,1972-09-17,100119.0,Ilie Nastase,ROU
Caracas,1972-03-17,100174.0,Manuel Orantes,ESP
Bournemouth,1972-05-13,100040.0,Bob Hewitt,RSA
Eastbourne,1972-06-23,100026.0,Andres Gimeno,ESP
Vancouver WCT,1972-10-22,100087.0,John Newcombe,AUS
Columbus,1972-07-23,100284.0,Jimmy Connors,USA
Adelaide,1972-01-23,100092.0,Alex Metreveli,RUS
Charlotte WCT,1972-04-23,100016.0,Ken Rosewall,AUS
Richmond WCT,1972-02-06,100029.0,Rod Laver,AUS
Masters,1972-11-28,100119.0,Ilie Nastase,ROU
Queen's Club,1973-06-17,100119.0,Ilie Nastase,ROU
Johannesburg WCT,1973-04-16,100261.0,Brian Gottfried,USA
Kitzbuhel,1973-07-23,100309.0,Raul Ramirez,MEX
Gstaad,1973-07-15,100119.0,Ilie Nastase,ROU
London,1973-11-17,100084.0,Tom Okker,NED
Tehran,1973-10-28,100309.0,Raul Ramirez,MEX
Denver WCT,1973-04-23,100073.0,Mark Cox,GBR
Milan WCT,1973-01-29,100060.0,Marty Riessen,USA
Philadelphia WCT,1973-02-06,100126.0,Stan Smith,USA
Brussels WCT,1973-04-09,100126.0,Stan Smith,USA
Houston WCT,1973-04-02,100016.0,Ken Rosewall,AUS
Baltimore,1973-01-03,100284.0,Jimmy Connors,USA
Lacosta WCT,1973-01-22,100091.0,Colin Dibley,AUS
Chicago WCT,1973-02-26,100074.0,Arthur Ashe,USA
Osaka,1973-10-07,100016.0,Ken Rosewall,AUS
New Delhi,1973-10-21,100321.0,Vijay Amritraj,IND
Australian Open,1972-12-26,100087.0,John Newcombe,AUS
Manila,1973-10-21,100257.0,Ross Case,AUS
Vancouver WCT,1973-04-01,100127.0,Tom Gorman,USA
Eastbourne,1973-06-23,100073.0,Mark Cox,GBR
Aptos,1973-09-16,100245.0,Jeff Austin,USA
Seattle,1973-09-16,100084.0,Tom Okker,NED
Djkarta,1973-11-04,100087.0,John Newcombe,AUS
Quebec,1973-10-07,100284.0,Jimmy Connors,USA
Hilversum,1973-07-23,100084.0,Tom Okker,NED
Bastad,1973-07-09,100126.0,Stan Smith,USA
Dusseldorf,1973-07-09,100137.0,Han Jurgen Pohmann,GER
Wimbledon,1973-06-25,100113.0,Jan Kodes,CZE
Washington WCT,1973-03-19,100084.0,Tom Okker,NED
Florence,1973-04-30,100119.0,Ilie Nastase,ROU
Charlotte WCT,1973-04-16,100016.0,Ken Rosewall,AUS
Munich WCT,1973-04-02,100126.0,Stan Smith,USA
